Restaurant name;Column1;Style;Address;Contact details;On the go ?;Terrasse ?;Brunch ?;Lunch / dinner ?;Closing time;Closed days;Budget for 2;Can we dance ?;Rooftop  ?;Special feature?;Deal?;Validated with partners?
Marterey n°56;;Wellness;;;Y;;;;;;;;;;;
Marutcha;;Tea;;;;;;;;;;;;;;
Mauro traiteur;;Italian;;;Y;;;;;;;;;;;
Meat: La bouche qui rit;;Meat;Rue de la Madeleine 10, 1003 Lausanne;s.losey@bouche-qui-rit.ch;;N;Y;Lunch;19h;Sunday;;N;N;Choose your own meat to be cooked for you;;
MYO;www.myo.ch;Japanese;Allee Ernest Ansermet 1 (A2);+41 21 323 22 88;no;y;tbc;yes;22.00 (Mon-Thu), 22.30 (Fri-Sat);Sunday;tbc;tbc;no;terrace and cockail lounge;tbc;tbc
Nandanam;;Indian;;;;Y;;Y;;;;;;;;
Nolf;;Bar;;;;;;;;;;;;;;
Non solo;;Italian;;;Y;;;;;;;;;;;
Non solo;;Coffee;;;;;;;;;;;;;;
Nouri fine food;;Gluten Free;;;;;;;;;;;;;;
Pancs;;American;;info@pancs.cafe;;;;;;;;;;;;
Pibar;;Bar;Rue du Valentin 62;;;;;;;;;;;;;
plant smart;;Wellness;;;;;;;;;;;;;;
Restaurant du theatre;;Italian;;;;Y;;;;;;;;;;
Rhino feroce;;Bar;;;;;;;;;;;;;;
Royal Savoy sky lounge;;Fusion;;;N;Y;;Y;;;;;Y;;;
Saladerie IUM;;Brunch;Place du Tunnel 8;;;;Y;;;;;;;;;
Sleepy Bear;;Coffee;;;;;;;;;;;;;;
Slice pizza;;Pizza;Rue du Valentin 23;021 311 53 49 ;N;N;N;Dinner;"22:00 ; 23:30 on Friday and 22:30 on Saturday";Monday;;N;N;Vegan pizza / dessert pizza / Gluten free;;N
Sucré salé;;;"Rue Caroline 6
Avenue de cour 80";;Y;;;;;;;;;;;
Sud Restaurant;;Mediterranean;;;Y;N;;Y;;;;;;;;
Ta cave;;Bistrot;Rue du Simplon, 35;;N;N;;;;;;;;;;
Takinoa;;Wellness;Rue du Grand Pont 4;;Y;;;;;;;;;;;
Thai au lac;;Thai;;;;Y;;;;;;;;;;
The great escape;;Bar;;;;Y;;Y;;;;;;;;
the green van company;;;;;;;;;;;;;;;;
The Olympic Museum (TOM);;Brunch;Quai d’Ouchy 1;;;Y;Y;;;;;;;;;
Tramezzini Bar;;;;;;;;;;;;;;;;
Veganopolis café;;Wellness;;;;;;;;;;;;;;
Végé café;;Wellness;Rue du Maupas 75;;;;;;;;;;;;;
Vintage Wine Bar;;Bar;Rue Langallerie 7;;;;;;;;;;;;;
wawa's;;;;;;;;;;;;;;;;
Zoo Burger;;Burger;Rue Mon-Loisir 16;;;Y;;Y;;;;No;No;;;
domaine de chantemerle;;;Tartegnin;;;;;;;;99.90;;;;;
Shangri-la à la table de vallotton;;;Lausanne;;;;;;;;99.90;;;;;
Aux fleurs de la terre;;;Lausanne;;;;;;;;99.90;;;;;
Shangri-la WTC;;;Lausanne;;;;;;;;99.90;;;;;
hong Yan;;;Lausanne;;;;;;;;99.90;;;;;
L'esquisse;;;Lausanne;;;;;;;;99.90;;;;;
Poco Loco;;;Lausanne;;;;;;;;99.90;;;;;
Abyssinia;;;Lausanne;;;;;;;;99.90;;;;;
L'AO;;;Lausanne;;;;;;;;99.90;;;;;
Perbacco;;;Lausanne;;;;;;;;99.90;;;;;
Osteria Balsamico;;;Lausanne;;;;;;;;127.42;;;;;
Pasta e Sfizi;;;Lausanne;;;;;;;;;;;;;
Le Ticino;;;Lausanne;;;;;;;;;;;;;
Côté Jardin;;;Lausanne;;;;;;;;;;;;;
Broadway avenue;;;Lausanne;;;;;;;;;;;;;
